Database
Id,Effectivity,Cycle,Effective Dates,Supplier,Extract Code,Database Created,Report Created,NDB Size,Target OFPs,Origin,Application Copyright,CSV Report Copyright
PAED,N 61° 15' 04.85",W 149° 48' 23.50",213,15.0,250,10000,18000,18000,True,,,
PAFA,N 64° 48' 55.30",W 147° 51' 24.00",439,15.0,250,10000,18000,18000,True,,,
PANC,N 61° 10' 26.70",W 149° 59' 53.30",151,16.0,250,10000,18000,18000,True,,,
PASN,N 57° 09' 58.70",W 170° 13' 21.20",66,10.0,250,10000,18000,18000,True,,,
PASY,N 52° 42' 44.15",E 174° 06' 48.90",98,1.0,250,10000,18000,18000,True,,,
PGSN,N 15° 07' 12.90",E 145° 43' 47.95",214,2.0,250,10000,18000,18000,True,,,
PGUA,N 13° 35' 02.00",E 144° 55' 48.20",617,2.0,250,10000,18000,18000,True,,,
PGUM,N 13° 29' 02.25",E 144° 47' 49.65",305,2.0,250,10000,18000,18000,True,,,
PTRO,N 07° 22' 02.30",E 134° 32' 39.35",177,1.0,250,10000,5500,5500,True,,,
PTYA,N 09° 29' 56.10",E 138° 04' 56.95",91,1.0,250,10000,5500,5500,True,,,
RCDC,N 22° 40' 20.00",E 120° 27' 40.00",81,-4.0,250,10000,11000,13000,True,,,
RCFN,N 22° 45' 19.00",E 121° 06' 01.00",143,-4.0,250,10000,11000,13000,True,,,
RCKH,N 22° 34' 37.00",E 120° 21' 01.00",32,-4.0,250,10000,11000,13000,True,,,
RCKU,N 23° 27' 16.00",E 120° 24' 12.00",85,-4.0,250,10000,11000,13000,True,,,
RCMQ,N 24° 15' 54.00",E 120° 37' 15.00",665,-5.0,250,10000,11000,13000,True,,,
RCNN,N 22° 56' 57.00",E 120° 12' 40.00",64,-4.0,250,10000,11000,13000,True,,,
RCPO,N 24° 49' 00.00",E 120° 56' 00.00",26,-3.5,250,10000,11000,13000,True,,,
RCQC,N 23° 34' 07.00",E 119° 37' 42.00",103,-4.0,250,10000,11000,13000,True,,,
RCQS,N 22° 47' 36.00",E 121° 10' 54.00",121,-2.0,250,10000,11000,13000,True,,,
RCSS,N 25° 04' 11.00",E 121° 33' 09.00",18,-5.0,250,10000,11000,13000,True,,,
RCTP,N 25° 04' 49.00",E 121° 13' 56.00",108,-5.0,250,10000,11000,13000,True,,,
RCYU,N 24° 01' 24.00",E 121° 36' 36.00",51,-5.0,250,10000,11000,13000,True,,,
RJAA,N 35° 45' 55.00",E 140° 23' 08.00",135,-8.0,250,10000,14000,14000,True,,,
RJAH,N 36° 10' 54.00",E 140° 24' 53.00",107,-8.0,250,10000,14000,14000,True,,,
RJAW,N 24° 47' 03.00",E 141° 19' 22.00",419,-4.0,250,10000,14000,14000,True,,,
RJBB,N 34° 26' 03.00",E 135° 13' 58.00",17,-8.0,250,10000,14000,14000,True,,,
RJBE,N 34° 37' 58.00",E 135° 13' 26.00",18,-8.0,250,10000,14000,14000,True,,,
RJCB,N 42° 44' 00.00",E 143° 13' 02.00",490,-10.0,250,10000,14000,14000,True,,,
RJCC,N 42° 46' 31.00",E 141° 41' 33.00",70,-10.0,250,10000,14000,14000,True,,,
RJCH,N 41° 46' 12.00",E 140° 49' 19.00",112,-9.0,250,10000,14000,14000,True,,,
RJCJ,N 42° 47' 40.00",E 141° 39' 59.00",89,-10.0,250,10000,14000,14000,True,,,
RJCK,N 43° 02' 27.00",E 144° 11' 35.00",311,-9.0,250,10000,14000,14000,True,,,
RJCM,N 43° 52' 50.00",E 144° 09' 51.00",109,-9.0,250,10000,14000,14000,True,,,
RJDC,N 33° 55' 48.00",E 131° 16' 43.00",15,-8.0,250,10000,14000,14000,True,,,
RJEC,N 43° 40' 15.00",E 142° 26' 51.00",690,-10.0,250,10000,14000,14000,True,,,
RJFF,N 33° 35' 04.00",E 130° 27' 06.00",30,-8.0,250,10000,14000,14000,True,,,
RJFK,N 31° 48' 12.00",E 130° 43' 10.00",891,-7.0,250,10000,14000,14000,True,,,
RJFM,N 31° 52' 38.00",E 131° 26' 55.00",19,-7.0,250,10000,14000,14000,True,,,
RJFO,N 33° 28' 46.00",E 131° 44' 14.00",17,-7.0,250,10000,14000,14000,True,,,
RJFR,N 33° 50' 44.00",E 131° 02' 06.00",21,-8.0,250,10000,14000,14000,True,,,
RJFS,N 33° 08' 59.00",E 130° 18' 08.00",6,-7.0,250,10000,14000,14000,True,,,
RJFT,N 32° 50' 14.00",E 130° 51' 19.00",632,-8.0,250,10000,14000,14000,True,,,
RJFU,N 32° 55' 01.00",E 129° 54' 49.00",8,-7.0,250,10000,14000,14000,True,,,
RJGG,N 34° 51' 30.00",E 136° 48' 19.00",12,-7.0,250,10000,14000,14000,True,,,
RJNA,N 35° 15' 18.00",E 136° 55' 28.00",46,-8.0,250,10000,14000,14000,True,,,
RJNK,N 36° 23' 38.00",E 136° 24' 27.00",22,-8.0,250,10000,14000,14000,True,,,
RJNS,N 34° 47' 46.00",E 138° 11' 22.00",433,-8.0,250,10000,14000,14000,True,,,
RJNT,N 36° 38' 54.00",E 137° 11' 15.00",77,-8.0,250,10000,14000,14000,True,,,
RJOA,N 34° 26' 10.00",E 132° 55' 10.00",1086,-8.0,250,10000,14000,14000,True,,,
RJOB,N 34° 45' 25.00",E 133° 51' 19.00",785,-8.0,250,10000,14000,14000,True,,,
RJOK,N 33° 32' 46.00",E 133° 40' 10.00",29,-7.0,250,10000,14000,14000,True,,,
RJOM,N 33° 49' 38.00",E 132° 41' 59.00",13,-7.0,250,10000,14000,14000,True,,,
RJOO,N 34° 47' 04.00",E 135° 26' 21.00",39,-7.0,250,10000,14000,14000,True,,,
RJOT,N 34° 12' 51.00",E 134° 00' 56.00",607,-8.0,250,10000,14000,14000,True,,,
RJSA,N 40° 44' 00.00",E 140° 41' 19.00",650,-9.0,250,10000,14000,14000,True,,,
RJSC,N 38° 24' 43.00",E 140° 22' 16.00",345,-9.0,250,10000,14000,14000,True,,,
RJSF,N 37° 13' 39.00",E 140° 25' 41.00",1220,-7.0,250,10000,14000,14000,True,,,
RJSI,N 39° 25' 43.00",E 141° 08' 07.00",294,-9.0,250,10000,14000,14000,True,,,
RJSK,N 39° 36' 56.00",E 140° 13' 07.00",305,-8.0,250,10000,14000,14000,True,,,
RJSN,N 37° 57' 21.00",E 139° 06' 42.00",5,-9.0,250,10000,14000,14000,True,,,
RJSS,N 38° 08' 23.00",E 140° 55' 01.00",6,-9.0,250,10000,14000,14000,True,,,
RJTF,N 35° 40' 18.00",E 139° 31' 41.00",139,-8.0,250,10000,14000,14000,True,,,
RJTT,N 35° 33' 12.00",E 139° 46' 52.00",21,-8.0,250,10000,14000,14000,True,,,
RKJB,N 34° 59' 29.00",E 126° 22' 58.00",51,-8.0,250,10000,14000,14000,True,,,
RKJJ,N 35° 07' 35.00",E 126° 48' 32.00",48,-8.0,250,10000,14000,14000,True,,,
RKJK,N 35° 54' 13.55",E 126° 36' 57.25",30,-7.0,250,10000,14000,14000,True,,,
RKJY,N 34° 50' 32.00",E 127° 37' 02.00",53,-8.0,250,10000,14000,14000,True,,,
RKNW,N 37° 26' 17.00",E 127° 57' 37.00",330,-9.0,250,10000,14000,14000,True,,,
RKNY,N 38° 03' 41.00",E 128° 40' 09.00",241,-9.0,250,10000,14000,14000,True,,,
RKPC,N 33° 30' 44.00",E 126° 29' 34.00",119,-8.0,250,10000,14000,14000,True,,,
RKPK,N 35° 10' 50.00",E 128° 56' 17.00",13,-8.0,250,10000,14000,14000,True,,,
RKPS,N 35° 05' 19.00",E 128° 04' 14.00",25,-8.0,250,10000,14000,14000,True,,,
RKPU,N 35° 35' 36.00",E 129° 21' 08.00",42,-9.0,250,10000,14000,14000,True,,,
RKSI,N 37° 27' 45.00",E 126° 26' 21.00",23,-9.0,250,10000,14000,14000,True,,,
RKSS,N 37° 33' 25.00",E 126° 47' 51.00",59,-9.0,250,10000,14000,14000,True,,,
RKTH,N 35° 59' 16.00",E 129° 25' 07.00",76,-9.0,250,10000,14000,14000,True,,,
RKTN,N 35° 53' 39.00",E 128° 39' 32.00",120,-9.0,250,10000,14000,14000,True,,,
RKTU,N 36° 42' 59.00",E 127° 29' 57.00",192,-9.0,250,10000,14000,14000,True,,,
ROAH,N 26° 11' 36.00",E 127° 38' 23.00",11,-5.0,250,10000,14000,14000,True,,,
ROIG,N 24° 23' 47.00",E 124° 14' 42.00",102,-5.0,250,10000,14000,14000,True,,,
RORS,N 24° 49' 36.00",E 125° 08' 41.00",25,-5.0,250,10000,14000,14000,True,,,
RPLB,N 14° 47' 40.00",E 120° 16' 17.00",59,-3.0,250,10000,11000,13000,True,,,
RPLC,N 15° 11' 38.00",E 120° 33' 18.00",465,-3.0,250,10000,11000,13000,True,,,
RPLI,N 18° 10' 34.00",E 120° 31' 52.00",24,-3.0,250,10000,11000,13000,True,,,
RPLL,N 14° 30' 36.00",E 121° 00' 49.00",75,-3.0,250,10000,11000,13000,True,,,
RPMD,N 07° 07' 32.00",E 125° 38' 45.00",92,-1.0,250,10000,11000,13000,True,,,
RPML,N 08° 24' 58.00",E 124° 36' 41.00",601,-1.0,250,10000,11000,13000,True,,,
RPMZ,N 06° 55' 21.00",E 122° 03' 35.00",33,-1.0,250,10000,11000,13000,True,,,
RPSP,N 09° 34' 26.00",E 123° 46' 14.00",43,-2.0,250,10000,11000,13000,True,,,
RPVA,N 11° 13' 39.00",E 125° 01' 40.00",13,-2.0,250,10000,11000,13000,True,,,
RPVB,N 10° 46' 36.00",E 123° 01' 09.00",86,-2.0,250,10000,11000,13000,True,,,
RPVK,N 11° 40' 46.00",E 122° 22' 31.00",32,-2.0,250,10000,11000,13000,True,,,
RPVM,N 10° 18' 29.00",E 123° 58' 42.00",34,-2.0,250,10000,11000,13000,True,,,
RPVP,N 09° 44' 31.00",E 118° 45' 35.00",66,-2.0,250,10000,11000,13000,True,,,
UAAA,N 43° 21' 20.00",E 077° 02' 38.00",2238,5.0,250,10000,10000,,True,,,
UAII,N 42° 21' 54.00",E 069° 28' 32.00",1387,6.0,250,10000,10000,,True,,,
UBBB,N 40° 28' 11.00",E 050° 03' 05.00",11,6.0,250,10000,9000,11000,True,,,
UCFL,N 42° 35' 08.55",E 076° 42' 06.50",5426,5.0,250,10000,13000,15000,True,,,
UCFM,N 43° 03' 40.60",E 074° 28' 39.05",2090,6.0,250,10000,4400,6000,True,,,
UCFO,N 40° 36' 32.00",E 072° 47' 36.00",2938,5.0,250,10000,13000,15000,True,,,
UDYZ,N 40° 08' 50.20",E 044° 23' 45.15",2838,7.0,250,10000,11500,,True,,,
UGTB,N 41° 40' 09.00",E 044° 57' 17.00",1578,7.0,250,10000,11000,13000,True,,,
UHPP,N 53° 10' 10.00",E 158° 27' 02.00",128,-7.0,250,10000,8000,,True,,,
UHSI,N 45° 15' 23.00",E 147° 57' 21.00",387,-8.0,250,10000,7300,,True,,,
UHSS,N 46° 53' 19.00",E 142° 43' 03.00",59,-11.0,250,10000,5300,,True,,,
UHWW,N 43° 23' 53.00",E 132° 08' 56.00",59,-11.0,250,10000,8000,,True,,,
UNAA,N 53° 44' 24.00",E 091° 23' 07.00",832,3.0,250,10000,6000,,True,,,
UNKL,N 56° 10' 23.00",E 092° 29' 36.00",941,3.0,250,10000,7000,9000,True,,,
UZNU,N 41° 34' 57.25",E 060° 38' 36.85",321,7.0,250,10000,13000,15000,True,,,
UZSA,N 40° 07' 02.45",E 065° 10' 16.45",1142,6.0,250,10000,13000,15000,True,,,
UZTT,N 41° 15' 26.95",E 069° 16' 51.50",1417,6.0,250,10000,13000,15000,True,,,
VDPP,N 11° 32' 48.00",E 104° 50' 39.00",40,-0.5,250,10000,10000,,True,,,
VDSA,N 13° 22' 09.00",E 104° 13' 23.00",191,-0.7,250,10000,10000,13000,True,,,
VDSR,N 13° 24' 39.00",E 103° 48' 44.00",59,-1.0,250,10000,10000,,True,,,
VDTI,N 11° 21' 36.00",E 104° 55' 16.00",22,-1.0,250,10000,10000,,True,,,
VEGT,N 26° 06' 18.10",E 091° 35' 07.60",163,0.0,250,10000,9000,,True,,,
VGEG,N 22° 15' 25.30",E 091° 49' 19.95",14,-1.0,250,10000,6000,8000,True,,,
VGHS,N 23° 50' 36.05",E 090° 23' 52.00",26,-1.0,250,10000,6000,8000,True,,,
VHHH,N 22° 18' 32.00",E 113° 54' 53.00",28,-3.0,250,10000,9000,11000,True,,,
VLLB,N 19° 54' 18.35",E 102° 10' 04.05",975,-1.0,250,10000,11000,13000,True,,,
VLVT,N 17° 59' 17.95",E 102° 33' 47.75",566,-1.0,250,10000,11000,13000,True,,,
VMMC,N 22° 08' 58.00",E 113° 35' 29.00",20,-3.0,250,11000,9000,,True,,,
VTBD,N 13° 54' 51.75",E 100° 36' 20.50",9,-0.7,250,10000,11000,13000,True,,,
VTBK,N 14° 06' 07.25",E 099° 55' 02.15",32,-0.6,250,10000,11000,13000,True,,,
VTBS,N 13° 41' 09.00",E 100° 44' 56.00",8,-0.7,250,10000,11000,13000,True,,,
VTBU,N 12° 40' 47.00",E 101° 00' 18.00",59,-0.6,250,10000,11000,13000,True,,,
VTCC,N 18° 46' 17.00",E 098° 57' 46.00",1036,-0.9,250,10000,11000,13000,True,,,
VTCH,N 19° 18' 06.00",E 097° 58' 30.00",929,-0.9,250,10000,11000,13000,True,,,
VTCN,N 18° 48' 28.50",E 100° 47' 00.30",685,-1.0,250,10000,11000,13000,True,,,
VTCT,N 19° 57' 08.45",E 099° 52' 58.65",1280,-1.0,250,10000,11000,13000,True,,,
VTPB,N 16° 40' 33.70",E 101° 11' 42.40",450,-0.8,250,10000,11000,13000,True,,,
VTPH,N 12° 37' 49.00",E 099° 57' 12.00",62,-0.6,250,10000,11000,13000,True,,,
VTPO,N 17° 14' 15.00",E 099° 49' 06.00",184,-0.9,250,10000,11000,13000,True,,,
VTPP,N 16° 46' 58.60",E 100° 16' 44.90",148,-0.9,250,10000,11000,13000,True,,,
VTSB,N 09° 08' 10.00",E 099° 08' 21.00",20,-0.5,250,10000,11000,13000,True,,,
VTSC,N 06° 31' 04.00",E 101° 44' 33.00",23,-0.2,250,10000,11000,13000,True,,,
VTSE,N 10° 42' 40.00",E 099° 21' 42.00",22,-0.5,250,10000,11000,13000,True,,,
VTSF,N 08° 32' 22.60",E 099° 56' 41.00",13,-0.4,250,10000,11000,13000,True,,,
VTSG,N 08° 06' 01.00",E 098° 59' 07.00",93,-0.4,250,10000,11000,13000,True,,,
VTSM,N 09° 32' 56.00",E 100° 03' 45.00",64,-0.4,250,10000,11000,13000,True,,,
VTSP,N 08° 06' 45.00",E 098° 18' 33.00",84,-0.5,250,10000,11000,13000,True,,,
VTSR,N 09° 46' 39.00",E 098° 35' 08.00",61,-0.5,250,10000,11000,13000,True,,,
VTSS,N 06° 55' 58.00",E 100° 23' 42.00",90,-0.3,250,10000,11000,13000,True,,,
VTST,N 07° 30' 31.00",E 099° 36' 57.00",67,-0.3,250,10000,11000,13000,True,,,
VTUD,N 17° 23' 11.00",E 102° 47' 18.00",579,-0.9,250,10000,11000,13000,True,,,
VTUI,N 17° 11' 43.00",E 104° 07' 07.00",529,-1.2,250,10000,11000,13000,True,,,
VTUK,N 16° 28' 00.00",E 102° 47' 01.00",681,-1.0,250,10000,11000,13000,True,,,
VTUL,N 17° 26' 21.00",E 101° 43' 19.00",864,-1.0,250,10000,11000,13000,True,,,
VTUN,N 14° 56' 04.00",E 102° 04' 43.00",729,-0.8,250,10000,11000,13000,True,,,
VTUO,N 15° 13' 36.35",E 103° 15' 04.45",594,-0.9,250,10000,11000,13000,True,,,
VTUQ,N 14° 56' 58.00",E 102° 18' 46.00",765,-0.8,250,10000,11000,13000,True,,,
VTUU,N 15° 15' 04.60",E 104° 52' 12.90",411,-1.1,250,10000,11000,13000,True,,,
VTUV,N 16° 07' 00.00",E 103° 46' 26.00",451,-1.0,250,10000,11000,13000,True,,,
VTUW,N 17° 23' 07.00",E 104° 38' 31.00",587,-1.2,250,10000,11000,13000,True,,,
VVCI,N 20° 49' 01.00",E 106° 43' 23.00",10,-1.5,250,10000,9000,10000,True,,,
VVCR,N 11° 59' 44.00",E 109° 13' 06.00",46,-1.0,250,10000,9000,10000,True,,,
VVCT,N 10° 05' 02.00",E 105° 42' 36.00",10,0.0,250,10000,9000,10000,True,,,
VVDL,N 11° 45' 12.00",E 108° 22' 05.00",3156,-1.0,250,10000,10000,11000,True,,,
VVDN,N 16° 02' 38.00",E 108° 12' 01.00",30,-1.0,250,10000,9000,10000,True,,,
VVNB,N 21° 13' 18.00",E 105° 48' 20.00",43,-2.0,250,10000,9000,10000,True,,,
VVPB,N 16° 24' 02.45",E 107° 42' 09.00",49,-1.0,250,10000,9000,10000,True,,,
VVPC,N 13° 56' 57.00",E 109° 02' 46.00",98,-1.0,250,10000,9000,10000,True,,,
VVPQ,N 10° 10' 11.00",E 103° 59' 35.00",23,-0.4,250,10000,9000,10000,True,,,
VVTS,N 10° 49' 14.00",E 106° 39' 39.00",33,-1.0,250,10000,9000,10000,True,,,
VVVD,N 21° 07' 05.00",E 107° 24' 51.00",26,-1.8,250,10000,9000,10000,True,,,
VYDW,N 14° 05' 50.55",E 098° 12' 24.20",84,-1.0,250,10000,6000,7500,True,,,
VYHH,N 20° 44' 49.35",E 096° 47' 31.30",3935,-1.0,250,10000,11000,12500,True,,,
VYKT,N 10° 02' 58.55",E 098° 32' 17.25",41,-1.0,250,10000,4000,5500,True,,,
VYMD,N 21° 42' 03.85",E 095° 58' 38.85",301,-1.0,250,10000,6000,7500,True,,,
VYME,N 12° 26' 24.35",E 098° 37' 16.00",62,-1.0,250,10000,5000,6500,True,,,
VYSW,N 20° 07' 58.00",E 092° 52' 21.55",39,-1.0,250,10000,4000,5500,True,,,
VYYY,N 16° 54' 26.15",E 096° 07' 59.65",110,-1.0,250,10000,6000,7500,True,,,
WAAA,S 05° 03' 39.00",E 119° 33' 16.00",44,0.0,250,10000,11000,13000,True,,,
WADD,S 08° 44' 51.00",E 115° 10' 09.00",14,1.0,250,10000,11000,13000,True,,,
WADL,S 08° 45' 26.00",E 116° 16' 36.00",343,1.0,250,10000,11000,13000,True,,,
WAHI,S 07° 54' 15.00",E 110° 03' 27.00",24,1.0,250,10000,11000,13000,True,,,
WAMM,N 01° 32' 44.00",E 124° 55' 30.00",328,0.0,250,10000,11000,13000,True,,,
WARR,S 07° 22' 51.00",E 112° 47' 11.00",11,1.0,250,10000,11000,13000,True,,,
WBGG,N 01° 29' 07.00",E 110° 20' 42.00",88,0.0,250,10000,11000,13000,True,,,
WBKK,N 05° 55' 55.00",E 116° 03' 01.00",14,0.0,250,10000,11000,13000,True,,,
WBSB,N 04° 56' 39.00",E 114° 55' 42.00",73,1.0,250,10000,11000,13000,True,,,
WIDD,N 01° 07' 08.00",E 104° 06' 50.00",123,0.0,250,10000,11000,13000,True,,,
WIHH,S 06° 16' 03.00",E 106° 53' 11.00",91,1.0,250,10000,11000,13000,True,,,
WIII,S 06° 07' 25.00",E 106° 39' 40.00",28,0.0,250,10000,11000,13000,True,,,
WIPP,S 02° 54' 01.00",E 104° 42' 00.00",49,0.0,250,10000,11000,13000,True,,,
WMKJ,N 01° 38' 26.00",E 103° 40' 13.00",135,0.0,250,10000,11000,13000,True,,,
WMKK,N 02° 44' 36.00",E 101° 41' 53.00",69,0.0,250,10000,11000,13000,True,,,
WMKL,N 06° 20' 22.00",E 099° 44' 01.00",23,0.0,250,10000,11000,13000,True,,,
WMSA,N 03° 07' 56.00",E 101° 33' 01.00",89,0.0,250,10000,11000,13000,True,,,
WSAP,N 01° 21' 20.60",E 103° 54' 10.00",65,0.0,250,10000,11000,13000,True,,,
WSSL,N 01° 25' 01.05",E 103° 52' 03.50",46,0.0,250,10000,11000,13000,True,,,
WSSS,N 01° 21' 33.15",E 103° 59' 21.55",22,0.0,250,10000,11000,13000,True,,,
ZBAA,N 40° 04' 24.00",E 116° 35' 54.00",116,-8.0,250,10000,9850,11800,True,,,
ZBAD,N 39° 30' 00.00",E 116° 24' 00.00",82,-8.0,250,10000,9850,11800,True,,,
ZBDH,N 39° 39' 54.00",E 119° 03' 36.00",52,-6.0,,,9850,11800,True,,,
ZBDS,N 39° 29' 24.00",E 109° 51' 54.00",4593,-5.0,250,10000,9850,11800,True,,,
ZBHH,N 40° 50' 54.00",E 111° 49' 24.00",3556,-6.0,250,10000,9850,11800,True,,,
ZBLA,N 49° 12' 18.00",E 119° 49' 36.00",2164,-11.0,250,10000,9850,11800,True,,,
ZBOW,N 40° 33' 30.00",E 110° 00' 00.00",3321,-5.0,250,10000,9850,11800,True,,,
ZBSJ,N 38° 16' 54.00",E 114° 41' 54.00",233,-6.0,250,10000,,11800,True,,,
ZBTJ,N 39° 07' 24.00",E 117° 20' 42.00",6,-7.0,250,10000,9850,11800,True,,,
ZBYN,N 37° 44' 54.00",E 112° 37' 48.00",2585,-6.0,250,10000,9850,11800,True,,,
ZGDY,N 29° 06' 06.00",E 110° 26' 42.00",713,-3.0,250,10000,9850,11800,True,,,
ZGGG,N 23° 23' 36.00",E 113° 18' 30.00",50,-3.0,250,10000,8850,10800,True,,,
ZGHA,N 28° 11' 24.00",E 113° 13' 06.00",219,-4.0,250,10000,9850,11800,True,,,
ZGKL,N 25° 13' 05.30",E 110° 02' 21.50",570,-3.0,250,10000,9850,11800,True,,,
ZGNN,N 22° 36' 36.00",E 108° 10' 24.00",420,-3.0,250,10000,9850,11800,True,,,
ZGOW,N 23° 33' 12.00",E 116° 30' 06.00",51,-4.0,250,10000,8850,10800,True,,,
ZGSZ,N 22° 38' 18.00",E 113° 48' 42.00",13,-3.0,250,10800,8850,10800,True,,,
ZHCC,N 34° 31' 09.75",E 113° 50' 28.10",496,-4.0,250,10000,9850,11800,True,,,
ZHES,N 30° 19' 18.00",E 109° 29' 12.00",1624,-3.0,250,10000,9850,11800,True,,,
ZHHH,N 30° 47' 06.00",E 114° 12' 24.00",113,-5.0,250,10000,,11800,True,,,
ZHYC,N 30° 33' 18.00",E 111° 28' 54.00",672,-4.0,250,10000,9850,11800,True,,,
ZJHK,N 19° 56' 00.00",E 110° 27' 36.00",74,-2.0,250,10000,9850,11800,True,,,
ZJSY,N 18° 18' 06.00",E 109° 24' 48.00",94,-2.0,250,10000,9850,11800,True,,,
ZKPY,N 39° 12' 20.20",E 125° 40' 12.85",89,-9.0,250,14000,10000,12000,True,,,
ZL02,N 39° 51' 30.00",E 098° 20' 24.00",5117,-1.0,250,10000,,,True,,,
ZLDH,N 40° 09' 48.00",E 094° 48' 36.00",3690,1.0,250,10000,9850,11800,True,,,
ZLIC,N 38° 19' 12.00",E 106° 23' 36.00",3744,-3.0,250,10000,9850,11800,True,,,
ZLJQ,N 39° 51' 30.00",E 098° 20' 24.00",5115,-1.0,,,,,True,,,
ZLLL,N 36° 30' 54.00",E 103° 37' 12.00",6393,-3.0,250,10000,15750,17700,True,,,
ZLXN,N 36° 31' 54.00",E 102° 02' 18.00",7166,-2.0,250,10000,15750,17700,True,,,
ZLXY,N 34° 27' 18.00",E 108° 45' 00.00",1584,-3.0,250,10000,9850,11800,True,,,
ZMCK,N 47° 38' 49.00",E 106° 49' 12.00",4485,-5.0,250,10000,,14800,True,,,
ZMUB,N 47° 50' 33.00",E 106° 46' 03.00",4367,-5.0,250,10000,,14800,True,,,
ZPJH,N 21° 58' 30.00",E 100° 45' 42.00",1815,-1.0,250,10000,13800,15700,True,,,
ZPPP,N 25° 06' 18.00",E 102° 56' 30.00",6901,-2.0,250,10000,17700,19700,True,,,
ZSAM,N 24° 32' 42.00",E 118° 07' 36.00",59,-4.0,250,10000,9850,11800,True,,,
ZSCN,N 28° 51' 48.00",E 115° 54' 00.00",143,-3.0,250,10000,9850,11800,True,,,
ZSFZ,N 25° 56' 00.00",E 119° 39' 54.00",47,-5.0,250,10000,9850,11800,True,,,
ZSHC,N 30° 13' 42.00",E 120° 26' 00.00",22,-6.0,250,10000,9850,11800,True,,,
ZSJN,N 36° 51' 26.30",E 117° 12' 57.65",76,-6.0,250,10000,9850,11800,True,,,
ZSLY,N 35° 03' 00.00",E 118° 24' 48.00",222,-6.0,250,10000,9850,11800,True,,,
ZSNB,N 29° 49' 36.00",E 121° 27' 48.00",12,-6.0,250,10000,9850,11800,True,,,
ZSNJ,N 31° 44' 36.00",E 118° 51' 48.00",49,-6.0,250,10000,,11800,True,,,
ZSNT,N 32° 04' 06.00",E 120° 58' 54.00",16,-5.0,250,10000,,11800,True,,,
ZSOF,N 31° 59' 12.00",E 116° 58' 30.00",208,-4.0,250,10000,9850,11800,True,,,
ZSPD,N 31° 08' 42.00",E 121° 47' 36.00",11,-6.0,250,10000,9850,11800,True,,,
ZSQD,N 36° 21' 54.00",E 120° 05' 54.00",30,-7.0,250,10000,9850,11800,True,,,
ZSQZ,N 24° 47' 54.00",E 118° 35' 18.00",21,-5.0,250,10000,9850,11800,True,,,
